latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.254225,98.387085,331.46,0.59,0.53,2019-04-01,0610,N,VIIRS,n,1,298.24,3.5,D,0
15.546413,99.916908,345.44,0.46,0.47,2019-04-01,0610,N,VIIRS,n,1,296.12,6.1,D,0
15.279282,98.46727,332.54,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,297.52,7.56,D,0
15.550746,99.916061,343.5,0.46,0.47,2019-04-01,0610,N,VIIRS,n,1,297.46,8.53,D,0
15.28531,98.472977,337.97,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,297.6,8.13,D,0
15.302033,98.509438,340.78,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,300.33,9.2,D,0
15.306801,98.508469,340.55,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,298.24,9.2,D,0
15.283489,98.469872,335.13,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,298,9.56,D,0
16.351482,104.404457,335.56,0.41,0.37,2019-04-01,0610,N,VIIRS,l,1,298.07,5.09,D,0
16.350872,104.400673,331.17,0.41,0.37,2019-04-01,0610,N,VIIRS,l,1,298.33,5.09,D,0
15.300619,98.506851,331.08,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,298.41,10.2,D,0
15.643442,100.292053,334.91,0.44,0.46,2019-04-01,0610,N,VIIRS,n,1,299.66,6.12,D,0
15.305335,98.505638,347.58,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,300.19,10.2,D,0
16.200178,103.352196,346.71,0.44,0.38,2019-04-01,0610,N,VIIRS,n,1,299.3,10.54,D,0
15.491134,99.278183,346.85,0.51,0.49,2019-04-01,0610,N,VIIRS,n,1,300.17,12.67,D,0
15.494788,99.27269,341.26,0.51,0.49,2019-04-01,0610,N,VIIRS,n,1,300.66,7.21,D,0
15.503409,99.29377,344.17,0.51,0.49,2019-04-01,0610,N,VIIRS,n,1,300.67,9.47,D,0
15.50018,99.276474,341.47,0.51,0.49,2019-04-01,0610,N,VIIRS,n,1,301.64,11.56,D,0
15.507898,99.29277,333.05,0.51,0.49,2019-04-01,0610,N,VIIRS,n,1,299.97,5.17,D,0
15.41739,98.732559,342.41,0.56,0.51,2019-04-01,0610,N,VIIRS,n,1,300.16,11.04,D,0
15.41642,98.727394,331.22,0.56,0.51,2019-04-01,0610,N,VIIRS,n,1,299.21,5.91,D,0
15.550261,99.217529,336.61,0.51,0.5,2019-04-01,0610,N,VIIRS,n,1,299.35,7.22,D,0
15.550569,99.215599,342.79,0.51,0.5,2019-04-01,0610,N,VIIRS,n,1,299.84,9.98,D,0
16.349201,103.660378,335.91,0.43,0.38,2019-04-01,0610,N,VIIRS,n,1,294.62,5.56,D,0
